method,class,support_total,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,trained_in_lora
frozen_linear_probe,Araneae,564,0.9929,0.0016,0.9965,0.0061,0.9894,0.0054,True
frozen_linear_probe,Blattodea,23,0.9361,0.0625,0.9583,0.0722,0.9167,0.0722,False
frozen_linear_probe,Coleoptera,1143,0.8634,0.017,0.9125,0.0109,0.8198,0.0324,True
frozen_linear_probe,Diptera,31913,0.9881,0.001,0.9827,0.0006,0.9937,0.0016,True
frozen_linear_probe,Hemiptera,775,0.843,0.007,0.9128,0.005,0.7832,0.0144,True
frozen_linear_probe,Hymenoptera,3326,0.9391,0.0019,0.9463,0.0064,0.9321,0.0051,True
frozen_linear_probe,Ixodida,0,0.0,0.0,0.0,0.0,0.0,0.0,False
frozen_linear_probe,Lepidoptera,1744,0.9853,0.003,0.9885,0.0039,0.9823,0.0052,True
frozen_linear_probe,Mecoptera,34,0.1545,0.0119,0.6667,0.2887,0.0884,0.0044,False
frozen_linear_probe,Neuroptera,115,0.6804,0.0671,0.8013,0.0824,0.5918,0.0607,True
frozen_linear_probe,Orthoptera,8,1.0,0.0,1.0,0.0,1.0,0.0,False
frozen_linear_probe,Plecoptera,54,0.9411,0.051,0.9804,0.0339,0.9074,0.0849,True
frozen_linear_probe,Raphidioptera,0,0.0,0.0,0.0,0.0,0.0,0.0,False
frozen_linear_probe,Trichoptera,85,0.8762,0.0234,0.9205,0.0624,0.8456,0.1038,True
lora_linear_probe,Araneae,564,0.0,0.0,0.0,0.0,0.0,0.0,True
lora_linear_probe,Blattodea,23,0.0,0.0,0.0,0.0,0.0,0.0,False
lora_linear_probe,Coleoptera,1143,0.0,0.0,0.0,0.0,0.0,0.0,True
lora_linear_probe,Diptera,31913,0.9074,0.0019,0.8326,0.0021,0.9969,0.0018,True
lora_linear_probe,Hemiptera,775,0.0,0.0,0.0,0.0,0.0,0.0,True
lora_linear_probe,Hymenoptera,3326,0.0,0.0,0.0,0.0,0.0,0.0,True
lora_linear_probe,Ixodida,0,0.0,0.0,0.0,0.0,0.0,0.0,False
lora_linear_probe,Lepidoptera,1744,0.8741,0.0403,0.9214,0.0345,0.8314,0.045,True
lora_linear_probe,Mecoptera,34,0.0,0.0,0.0,0.0,0.0,0.0,False
lora_linear_probe,Neuroptera,115,0.0,0.0,0.0,0.0,0.0,0.0,True
lora_linear_probe,Orthoptera,8,0.0,0.0,0.0,0.0,0.0,0.0,False
lora_linear_probe,Plecoptera,54,0.0,0.0,0.0,0.0,0.0,0.0,True
lora_linear_probe,Raphidioptera,0,0.0,0.0,0.0,0.0,0.0,0.0,False
lora_linear_probe,Trichoptera,85,0.0,0.0,0.0,0.0,0.0,0.0,True
